"song_index","Title","release_date","text"
2,"1984",1974-04-24,"Someday they won't let you, now you must agree The times they are a telling, and the changing isn't free You've read it in the tea leaves, and the tracks are on TV Beware the savage jaw Of 1984 They'll split your pretty cranium and fill it full of air And tell that you're eighty, but brother you won't care You'll be shooting up on anything, tomorrow's never there Beware the savage jaw Of 1984 Come see, come see, remember me? We played out an all night movie role You said it would last, but I guess we enrolled In 1984 1984 I'm looking for a vehicle, I'm looking for a ride I'm looking for a party, I'm looking for a side I'm looking for the treason that I knew in '65 Beware the savage jaw Of 1984 1984 1984 1984 1984 1984 1984"
3,"1984/Dodo",1989-09-19,"Someday they won't let you, but now you must agree The times they are a telling, and the changing isn't free You've read it in the tea leaves, the tracks are on TV Beware the savage lure Of 1984 They'll break your pretty cranium, and fill it full of air And tell you that you're eighty, but lover you won't care You'll be shooting up as usual like tomorrow wasn't there Beware the savage lure Of 1984 Come see, come see, remember me? We played at an all night movie role You said it would last, but I guess we rolled In 1984 1984 Now we can talk in confidence Did you guess that we've been done wrong? Lies jump in queue to be first in line Such a shameless design He thinks he's well screened from the man at the top It's a shame that his children disagree They coolly decide to sell him down the line Daddy's brainwashing time He's a dodo, no no, didn't hear it from me He's a dodo, no no, didn't hear it from me She's doesn't recall her blessed childhood of yore When a unit was a figure, not a she When lovers chose each other seems the perks are due Another memo to screw She's a dodo, no no, didn't hear it from me She's a dodo, no no, didn't hear it from me Can you wipe your nose my child Without them slotting in your file a photograph? Will you sleep in fear tonight? Wake to find the scorching light of neighbour Jim He's come to turn you in Another dodo, no no, didn't hear it from me Another dodo, no no, didn't hear it from me Another dodo, no no, didn't hear it from me Come see, come see, remember me? We played at an all night movie role You said it would last, but I guess we enrolled In 1984, who could ask for more 1984, who could ask for mor-or-or-or-ore Mor-or-or-or-ore 1984 1984 1984 1984 1984 1984 1984 Ooooo"
4,"5:15 The Angels Have Gone",2002-06-11,"5:15 I'm changing trains, this little town Let me down This foreign rain brings me down 5:15 Train overdue, angels have gone No ticket I'm jumping tracks, I'm changing towns We never talk anymore Forever I will adore only you 5:15 All of my life, angels have gone I'm changing trains Angels like them, thin on the ground All of my life All legs and wings, strange sandy eyes 5:15 Train overdue, angels have gone We never talk anymore Forever I will adore only you Cold station All of my life Forever I'm out of here forever"
5,"'87 And Cry",1987-04-20,"It's just a one dollar secret A lover's secrets in the UK Torn apart in the UK In the dribble of May Day '87 and cry '87 and cry And there's nothing inside And there's nothing in mind, no-oh And only you Rocket on thru' the sky Well it couldn't be done without dogs And it couldn't be once without us '87 and cry '87 and cry When the days were the days boys When blue ties were for the big guys Frannie dressing down for the enemy You saw him hangin' on the enemy And there's no one in love And there's nowhere to scream, no-oh And only you Race on to wonder where Well it couldn't be done without dogs No it couldn't be once without us '87 and cry '87 and cry You can't make love with money You can't make mistakes with babies Nothing looked good on you That's how I liked you best Now you're ready for the real McCoy Deep in the heart of Cupid Murder on the heels of love Just the ghost of a story It's just a one dollar secret Baby these were the sounds Baby these were the sounds, yeah And only you Whisper these things aren't true But it couldn't be done without dogs Well it couldn't be once without us '87 and cry '87 and cry '87 and cry, cry, cry '87 and cry '87 and cry, cry, cry '87 and cry '87 and cry, cry, cry, cry, cry '87 and cry, cry, cry, cry '87 and cry '87 and cry '87 and cry '87 and cry Hey, hey '87 and cry"
6,"A Better Future",2002-06-11,"Please don't tear this world asunder Please take back this fear we're under I demand a better future Or I might just stop wanting you I might just stop wanting you Please make sure we get tomorrow All this pain and all this sorrow I demand a better future Or I might just stop needing you I might just stop needing you Give my children sunny smiles Give them room and cloudless skies I demand a better future Or I might just stop loving you, loving you, loving you When we talk, we talk to you When we walk, we walk to you From factory to field How many tears must fall? Down there below Nothing is moving I might just stop wanting you I might just stop needing you I might just stop loving you I demand a better future I demand a better future I demand a better future Or I might just stop loving you Loving you, loving you I demand a better future I demand a better future I demand a better future Or I might just stop loving you Loving you, loving you I demand a better future"
9,"A Small Plot Of Land",1995-09-25,"Poor soul Spit upon that Poor soul He never knew what hit him And it hit him so Poor dunce He pushed at the pigmen The Barbs laughed The fool is dead Poor dunce He's less than within us The brains talk But the will to live is dead And prayer can't travel so far these days The talk of your life Standing so near To innocent eyes Poor dunce Swings through the tunnels And claws his way Is small life so manic Are these really the days? Poor dunce Poor dunce Poor soul Spit upon that Poor soul He never knew what hit him And it hit him so He pushed back the pigmen Poor soul Poor soul Poor soul Poor soul Poor, poor soul Poor, poor, poor"
11,"Absolute Beginners",1986-03-03,"I've nothing much to offer There's nothing much to take I'm an absolute beginner But I'm absolutely sane As long as we're together The rest can go to hell I absolutely love you But we're absolute beginners With eyes completely open But nervous all the same If our love song Could fly over mountains Could laugh at the ocean Just like the films There's no reason To feel all the hard times To lay down the hard lines It's absolutely true Nothing much could happen Nothing we can't shake Though we're absolute beginners With nothing much at stake As long as you're still smiling There's nothing more I need I absolutely love you But we're absolute beginners Well if my love is your love We're certain to succeed If our love song Could fly over mountains Could sail over heartache Just like the films If there's reason To feel all the hard times To lay down the hard lines It's absolutely true"
12,"Across The Universe",1975-03-07,"Words are flowing out like endless rain into a paper cup They slither wildly as they slip away Across the universe Pools of sorrow, waves of joy are drifting through my opened mind Possessing and caressing me Nothing's gonna change my world Nothing's gonna change my world Images of broken light which dance before me like a million eyes They call me on and on Across the universe Thoughts meander like the restless wind inside a letter box They tumble blindly as they make their way Across the universe CHORUS 1 Sounds of laughter, shades of life are ringing through my open ears Inciting and inviting me Limitless undying love, which shines around me like a million suns It calls me on and on and on Across the universe Nothing Nothing Nothing Nothing's gonna Nothing's gonna to change my world Nothing's gonna change it Nothing's gonna change it Hey Nothing's gonna change my world Nothing's gonna change my world"
14,"African Night Flight",1979-05-18,"African nightmare one-time Mormon More men fall in Hullabaloo men I slide to the nearest bar Undermine chairman I went too far Bent on a windfall rent a Sony Wonder how the dollar went down? Gotta get a word to Elizabeth's father Hey ho, he wished me well CHORUS 1 Seemed like another day I could fly into the eye of God on high CHORUS 2 His burning eye will see me through One of these days, one of these days Gotta get a word through one of these days CHORUS 3 Asanti habari habari habari Asanti nabana nabana nabana Getting in mood for a Mombasa night flight Pushing my luck, gonna fly like a mad thing Bare strip take-off skimming over Rhino Born in slumber less than peace Struggle with a child whose screaming dreaming Drowned by the props all steely sunshine Sick of you, sick of me Lust for the free life Quashed and maimed Like a valuable loved one Left unnamed CHORUS 1 Over the bushland over the trees Wise like Orangutan that was me CHORUS 2 CHORUS 3"
18,"Alabama Song",1980-02-15,"VERSE Oh, show *me/us/us* the way to the next *whiskey* bar Oh, don't ask why *No/Oh/No*, don't ask why For we must find *the/our/the* next *whiskey* bar Or if we don't find *the/our/the* next *whiskey* bar I tell you we must die I tell you we must die I tell you, I tell you, I tell you, we must die CHORUS Oh, Moon of Alabama It's time to say goodbye We've lost our good ol' mama And must have *whiskey*, oh you know why CHORUS VERSE CHORUS CHORUS VERSE CHORUS Oh, Moon of Alabama It's time to say auf weidersehn We've lost our good ol' mama And must have little girl, oh you know why You know why You know why"
19,"Aladdin Sane (1913-1938-197?)",1973-04-13,"Watching him dash away, swinging an old bouquet - dead roses Sake and strange divine Uh-h-h-uh-h-uh you'll make it Passionate bright young things, takes him away to war - don't fake it Saddening glissando strings Uh-h-h-uh-h-uh - you'll make it Who will love Aladdin Sane Battle cries and champagne just in time for sunrise Who will love Aladdin Sane Motor sensational, Paris or maybe hell - I'm waiting Clutches of sad remain Waits for Aladdin Sane - you'll make it Who will love Aladdin Sane Millions weep a fountain, just in case of sunrise Who will love Aladdin Sane Will love Aladdin Sane Who'll love Aladdin Sane Who will love Aladdin Sane Millions weep a fountain, just in case of sunrise Who will love Aladdin Sane Will love Aladdin Sane Will love Aladdin Sane Say the lights are oh so bright on Broadway"
20,"Algeria Touchshriek",1995-09-25,"My name is Mr. Touchshriek Of Touchshriek with mail over and fantasy My shop sells egg shells off the shesores and empty females I'm thinking of leasing the room above my shop To a Mr. Walloff Domburg A reject from the world wide intellect He's a broken man I'm also a broken man It would be nice to have company We could have great conversations Looking through windows for demons And watching the young advance in all electric Some of the houses around here still have inhabitants in them I'm not sure if they're from this country or not I don't get to speak much to anyone or, that sort of thing If I had another broken man Oh, I dream of something like that"
22,"All The Madmen",1970-11-04,"Day after day They send my friends away To mansions cold and grey To the far side of town Where the thin men stalk the streets While the sane stay underground Day after day They tell me I can go They tell me I can blow To the far side of town Where it's pointless to be high 'Cos it's such a long way down So I tell them that I can fly, I will scream, I will break my arm I will do me harm Here I stand, foot in hand, talking to my wall I'm not quite right at all... am I? Don't set me free, I'm as heavy as can be Just my librium and me And my E.S.T. makes three 'Cos I'd rather stay here With all the madmen Than perish with the sad men roaming free And I'd rather play here With all the madmen For I'm quite content they're all as sane As me Day after day They take some brain away Then turn my face around To the far side of town And tell me that it's real Then ask me how I feel Here I stand, foot in hand, talking to my wall I'm not quite right at all Don't set me free, I'm as helpless as can be My libido's split on me Gimme some good old lobotomy 'Cos I'd rather stay here With all the madmen Than perish with the sad men Roaming free And I'd rather play here With all the madmen For I'm quite content They're all as sane as me Zane, Zane, Zane Ouvre le Chien    "
27,"Always Crashing In The Same Car",1977-01-14,"Every chance, every chance that I take I'll take it on the road With kilometers and the red light I was always looking left and right Oh, but me? Always crashing in the same car Jasmine, I saw you peeping As I pushed my foot down to the floor I was going, round and round, hotel garage Must have been touching close to ninety-four Oh, but I'm always crashing in the same car Yeah"
35,"An Occasional Dream - (demo)",2019-06-28,"I recall how we lived On the corner of the bed And we'd speak of a Swedish room Of hessian and wood And we'd talk with our eyes Of the sweetness in our lives And tomorrow's of rich surprise Some things we could do For you and me tomorrow In our madness We burnt one hundred days Time takes time to pass And I still hold some ashes to me An occasional dream And we'd sleep, oh so close But not really close our eyes 'Tween the sheets of Summer bathed in blue Gently weeping nights It was long, long ago, long ago And I still can't touch your name For the days of fate were strong for you Danced you far from me Just you and you tomorrow In my madness I see your face in mine I keep a photograph It burns my wall with time Time An occasional dream Of mine An occasional dream Of mine An occasional dream Of mine"
